Transaction_ID,Account_ID,Transaction_Date,Transaction_Amount,Merchant_Category,Transaction_Type,Location,is_fraud
322a02b1-54df-4bd1-8c8a-afe4ba7a8bfe,ACC59592245,2024-09-01,158601.47,Education,Credit,Lefurt,False
93249fd9-a687-448c-a6ab-a83107fa099c,ACC25499204,2023-07-21,88100.02,Medicine,Credit,Port Krystal,False
60f3b457-81a4-49f6-abda-daba64202bf2,ACC27841768,2023-07-24,738781.21,Retail,Debit,Lake Robertchester,True
86f4dd3d-7cff-4130-8f05-4d415f9ef73c,ACC24746755,2025-01-23,714148.14,E-commerce,Credit,Kingfort,False
4c928e80-529e-4efd-8fcb-e4baf87f5622,ACC25718865,2025-12-21,579273.76,Tax,Debit,Lindastad,False
1f795e73-3a86-49ce-8ec1-5c266450b7e0,ACC69883893,2024-01-05,156285.04,E-commerce,Credit,Douglasshire,False
ebb9e26a-33af-4b3b-b54b-7f7162617e9b,ACC17773441,2024-07-26,775735.18,Tax,Credit,East Kennethside,False
3b25efe3-a044-45bb-a760-d452823d13de,ACC56661203,2023-11-14,563326.83,Education,Debit,Lake Adam,False
ae9c94e9-4344-4dc1-9a6b-6bfbd23f5b36,ACC38349486,2025-03-14,165416.69,Retail,Credit,Jessicachester,False
8dd79439-b0e3-4e82-8ea1-19f41c47f1e5,ACC21419878,2025-04-11,231239.18,Education,Credit,North Jonathanfort,False
b2d478fb-0a78-47e0-9968-afb211f7894f,ACC87588459,2024-10-09,2061.45,Tax,Credit,Leonburgh,True
05324901-0670-4547-af50-00d3fd82fc3f,ACC83304615,2023-03-12,609775.57,E-commerce,Credit,Bennetthaven,True
5154a6e5-474b-4889-a8d3-eed7442419fd,ACC93858463,2025-05-29,775549.74,Retail,Debit,Maxwellport,True
a79f6e9f-5204-4302-8ed4-ee706f15617f,ACC72696634,2025-01-21,827805.12,Retail,Debit,Port Thomas,False
19c934f1-fa19-4ea8-ae2c-4ffbdde10249,ACC72292924,2024-10-26,720987.92,E-commerce,Debit,Johnsonton,False
edca9499-c476-4289-91e7-2ea6129a8afb,ACC77623585,2024-03-03,27764.44,Tax,Credit,New Phillip,False
e9517d6e-4a02-4c77-92db-78e500a27863,ACC31909345,2025-09-01,870244.91,E-commerce,Debit,North Scottmouth,False
5a51aaeb-11de-48af-9113-f413eacc435e,ACC49991635,2025-11-25,783187.99,Retail,Credit,Laurenland,True
48a9575b-4d35-4d22-b2c3-6b0002644772,ACC46443989,2023-02-28,113522.58,Retail,Debit,Ryanbury,False
c4edb229-d296-4ee8-876f-f2d5be777695,ACC78726584,2023-10-16,18816.73,Retail,Debit,North Matthew,False
bdd4fec7-386f-4e13-b670-f23a3822c125,ACC45014388,2024-08-05,31509.45,Tax,Credit,West Jacobshire,False
62dc12fd-c5e2-43c2-93dc-286335bc3434,ACC65066130,2024-12-03,632987.98,E-commerce,Credit,Fullerland,False
cfb8d036-9e46-422b-887b-b736f476e72b,ACC68585611,2023-12-04,415062.73,Medicine,Debit,South Carolyn,True
843268f8-65eb-4b0a-9f86-c8b73ddbc7fa,ACC78996848,2025-08-29,398532.82,Medicine,Credit,Mariobury,False
93a6018b-e0e8-45bd-9360-364fbc1d8e14,ACC40549296,2023-04-15,613657.53,Retail,Debit,South Williamstad,False
f5bfb115-314c-43b4-a66c-92b8972699e3,ACC91530658,2024-03-27,19662.26,Tax,Credit,Gonzalezside,False
4ae195ac-db29-4b90-8d35-fc35d1873041,ACC42915170,2025-07-26,122238.89,Retail,Debit,Lake Michellechester,False
601f00d6-3060-4c87-912e-ed959cf116b3,ACC66070824,2023-08-11,348299.82,Retail,Debit,Hollyfurt,False
d456a288-10ab-4dbb-8c39-66fcc7db5d51,ACC70747435,2024-03-15,737124.5,Retail,Credit,West Ronald,False
ae5a1d9b-f9c4-4444-89b4-f12321112ba8,ACC20130879,2023-02-17,187709.83,Education,Debit,East Jayburgh,False
9dad1709-586c-4a5e-a2b6-728dd1a288ca,ACC78492580,2024-12-20,241827.97,Tax,Debit,East Damon,False
4c2379ad-53fe-405d-ba79-f93353415261,ACC79018510,2025-11-03,735896.98,Medicine,Credit,Lake Richard,False
034bcb54-b08a-415b-9f92-06dece518d93,ACC41925917,2024-01-08,231681.0,E-commerce,Credit,South Amandaborough,False
fc6b4d27-9502-407c-9f79-f013ec596e37,ACC22197879,2025-05-10,279364.76,Education,Credit,Pamelaton,False
1ba063f7-6ebb-4c3f-8ee7-e83cbacf4c73,ACC64023299,2024-01-04,929060.99,Medicine,Credit,Rodriguezchester,False
6a1f02e0-8d65-4d54-a8d7-6cb1e68298c3,ACC30491121,2024-10-07,664487.64,Education,Credit,New Jack,False
07c96a87-8784-49e8-b19c-692abef3821e,ACC51260648,2025-04-28,719217.65,E-commerce,Debit,Port Justinmouth,False
cd1b0655-5314-4b72-a287-c570e7ccb948,ACC11783604,2024-11-24,888851.43,Education,Credit,Lopezberg,False
f01fc3cb-cc69-46f6-9428-b4536073ac22,ACC39966113,2024-11-25,759138.64,Tax,Credit,Daisyhaven,False
83610ba9-ed50-4f0f-b75e-22b29bed2ebe,ACC71451343,2024-01-14,638204.66,Tax,Credit,Lake Christopher,False
2dd1a858-5941-4c9f-b33d-d12a6528e41f,ACC21522172,2024-05-14,349886.0,Education,Debit,Gomezstad,False
50214a64-db22-44b2-b280-a310b2d435f1,ACC73199614,2023-07-03,586070.28,Medicine,Credit,Deanfort,False
49308447-3d41-434e-a1e3-f1fc6a05da8f,ACC82302680,2024-02-07,125539.64,Tax,Credit,Bryantfurt,False
9a5d514c-c740-4d81-8993-90eb117c0ba5,ACC45952687,2024-09-09,628989.0,Tax,Debit,Brownberg,False
